Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020,Level
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,405,454,8
LM097,Mathematics and Computer Science with concurrent Teacher Education,402,402,509,8
LM099,Architecture (portfolio requirement suspended),498,498,532,8
LM100,Physiotherapy,589,589,601,8
LM101,Medicine  - Graduate Entry (GAMSAT required),55,55,57,8
LM102,Psychology,509,509,529,8
LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,392,445,8
LM115,Chemical and Biochemical Engineering,454,454,532,8
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,476,521,8
LM118,Electronic and Computer Engineering,403,403,489,8
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351,351,423,8
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327,327,401,8
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441,441,478,8
LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437,437,509,8
LM125,Physics (Applied Physics or Mathematics & Physics),404,404,520,8
LM150,General Nursing,475,475,498,8
LM152,Mental Health Nursing,419,419,430,8
LM154,Intellectual Disability Nursing,420,440,473,8
LM156,Midwifery,469,469,499,8
LY108,Business - Accounting,309,309,431,8
LY118,Business,290,290,377,8
LY208,Law,300,300,367,8
LY228,Sports and Exercise - Common Entry,300,300,367,8
LY408,Design - Common Entry,320,320,381,8
LY508,Fire Safety Engineering,276,276,326,8
LY518,Quantity Surveying,301,301,368,8
LY528,Construction Management,271,271,321,8
LY608,Mechanical Engineering,300,300,379,8
LY618,Electronic Engineering,312,312,402,8
LY708,Applied Computing,306,306,372,8
LY748,Computer Science,317,317,420,8
LY818,Science - Common Entry,303,303,409,8
LY828,Agriculture - Common Entry,307,307,351,8
LY908,General Nursing,400,400,423,8
LY918,Psychiatric Nursing,357,357,387,8
LY928,Intellectual Disability Nursing,326,328,346,8
LY968,"Early Childhood Care, Health and Education",303,303,361,8
LY978,Health & Social Care - Common Entry,280,280,330,8
MH001,Education - Primary Teaching (Froebel),507,507,531,8
MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,,,8
MH101,Arts,318,318,388,8
MH103,Music,#,#,#,8
MH106,Psychology - 3 years,521,521,529,8
MH107,Social Science,346,346,388,8
MH109,Media Studies,316,316,377,8
MH116,Community and Youth Work (Full-Time),#,#,#,8
MH201,Science,360,360,418,8
MH202,Biotechnology,455,455,466,8
MH203,Biological and Geographical Sciences,430,430,465,8
MH204,Physics with Astrophysics,422,422,479,8
MH206,Theoretical Physics and Mathematics,510,510,533,8
MH207,Data Science,445,445,520,8
MH208,Biological and Biomedical Sciences,498,498,510,8
MH209,Psychology (through Science) - 4 years,498,498,510,8
MH210,Pharmaceutical and Biomedical Chemistry,487,487,520,8
MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422,422,487,8
MH304,Engineering (Computer/Electronic/Communications),333,333,444,8
MH305,Product Design,357,357,409,8
MH306,Robotics and Intelligent Devices,361,361,433,8
MH401,Finance (options),357,357,398,8
MH402,Quantitative Finance,476,476,509,8
MH403,Accounting and Finance,422,422,468,8
MH404,Business (options),430,430,454,8
MH405,Equine Business,357,357,408,8
MH407,Business and Accounting,420,420,462,8
MH411,Entrepreneurship,371,371,408,8
MH501,LLB Law - four year Single Major Law programme,473,473,495,8
MH502,Law (options),451,451,473,8
MH601,Computer Science through Arts (options),352,352,403,8
MH602,Computer Science through Science (options),351,351,409,8
MH603,Computational Thinking,532,532,544,8
MH801,Early Childhood - Teaching and Learning (part-time),327,327,378,8
MH802,"Community and Youth Work (part-time, in service)",#,#,,8
MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",#,#,,8
MI001,Contemporary & Applied Theatre Studies,375,390,412,8
MI002,Arts,300,281,389,8
MI004,Education - Primary Teaching - International,577,577,589,8
MI005,Education - Primary Teaching,495,495,521,8
MI006,Education - Primary Teaching - Gaeltacht Applicants,456,462,519,8
MI007,Early Childhood Care and Education,357,357,409,8
MI008,Education and Psychology - Primary Teaching,588,588,601,8
MI009,"Education, Business Studies and Accounting",402,402,455,8
MI010,"Education, Business Studies and Religious Studies",368,368,389,8
MI011,"Education, Gaeilge and Religious Studies",409,409,451,8
MI012,"Education, Gaeilge and Business Studies",401,401,463,8
MI013,"Education, Mathematics and Gaeilge",444,444,477,8
MI014,"Education, Mathematics and Business Studies",434,434,487,8
MU001,Theology and Arts,290,290,349,8
MU002,Theology,440,440,440,8
NC003,Computing (Degree Award options),260,260,303,8
NC005,Human Resource Management,300,300,331,8
NC009,Business,300,300,346,8
NC010,Psychology,400,400,440,8
NC020,Marketing Practice,280,282,338,8
NC022,Accounting and Finance,337,337,378,8
NC023,Technology Management (with specialisations),261,261,282,8
NM801,Montessori Education,220,220,290,8
PC405,"Social, Political and Community Studies",253,216,311,8
PC410,Arts and Humanities (fulfils Teaching Council requirements),252,209,300,8
PC411,English and History (fulfils Teaching Council requirements),255,209,310,8
RC001,Medicine - Undergraduate Entry (HPAT required),733,733,738,8
RC004,Physiotherapy,566,566,567,8
RC005,Pharmacy,579,578,589,8
RC101,Medicine - Graduate Entry (GAMSAT required),,61,63,8
SG141,Business,261,261,347,8
SG142,Business in International Marketing and Languages (French),279,279,386,8
SG144,Business in International Marketing and Languages (Spanish),270,270,347,8
SG146,Accounting,309,309,411,8
SG147,Sport with Business,307,307,367,8
SG148,Tourism with Event Management,269,269,340,8
SG241,Performing Arts,328,328,387,8
SG242,Early Childhood Care and Education,279,279,319,8
SG243,Social Care Practice,301,301,346,8
SG244,Fine Art,505,505,505,8
SG245,Creative Design,282,282,339,8
SG246,Computing,290,290,333,8
SG247,English and Psychology,309,309,382,8
SG248,Sociology and Politics,281,281,327,8
SG249,Writing and Literature,297,297,368,8
SG250,Application Design and User Experience,412,412,412,8
SG251,Computing (Smart Technologies),327,342,367,8
SG252,Software Development,307,307,319,8
SG253,Computer Networks and Cloud Infrastructure,324,378,378,8
SG254,Writing and Literature Online,225,225,328,8
SG342,Civil Engineering,415,415,480,8
SG343,Quantity Surveying,311,311,367,8
SG346,Construction Project Management and Applied Technology,291,291,337,8
SG347,Architecture,360,360,411,8
SG348,Interior Architecture and Design,316,331,368,8
SG442,Occupational Safety and Health,290,290,367,8
SG443,Human Nutrition,356,356,397,8
SG444,Science Undenominated,338,338,420,8
SG445,Pharmaceutical Science with Drug Development,311,311,367,8
SG447,Health Science and Physical Activity,328,328,387,8
SG448,Forensic Investigation and Analysis,306,307,368,8
SG449,Medical Biotechnology,341,341,395,8
SG450,Environmental Science with Ecology (Level 8),300,304,368,8
TL801,"Animation, Visual Effects and Motion Design (Level 8)",281,281,349,8
TL802,"TV, Radio and New Media (Level 8)",325,325,397,8
TL810,Computing with Software Development,310,310,389,8
TL811,Computing with Games Development,358,358,,8
TL815,Computing (Degree Award options),308,308,360,8
TL823,Event Management (3 year programme),299,299,369,8
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306,306,381,8
TL844,Agricultural Engineering,300,300,373,8
TL845,Civil Engineering,325,325,413,8
TL847,Manufacturing Engineering,302,302,368,8
TL848,Agricultural Science,308,308,380,8
TL851,Wildlife Biology (Degree Award options),309,309,383,8
TL855,Pharmaceutical Science (Degree Award options),317,317,369,8
TL858,Veterinary Bioscience,308,308,393,8
TL871,Health and Leisure (Degree Award options),300,300,379,8
TL872,Health and Leisure with Massage,309,309,408,8
TL873,Coaching and Sports Performance,289,289,329,8
TL880,Early Childhood Care and Education,307,307,349,8
TL881,Social Care,308,309,362,8
TL889,Counselling with Addiction - Mature applicants only,,,,8
TL890,General Nursing and Mature Applicants,440,414,441,8
TL891,Mental Health Nursing and Mature Applicants,389,378,399,8
TR002,Music,435,382,468,8
TR003,History,497,456,511,8
TR004,Law,566,565,578,8
TR005,Philosophy,442,442,476,8
TR006,Psychology,567,555,578,8
TR007,Clinical Speech and Language Studies,529,529,553,8
TR009,Music Education,420,420,532,8
TR012,History and Political Science,555,552,578,8
TR015,"Philosophy, Political Science, Economics and Sociology",589,589,601,8
TR016,Deaf Studies,340,329,377,8
TR017,Law and Business,602,602,613,8
TR018,Law and French,565,565,589,8
TR019,Law and German,543,542,566,8
TR020,Law and Political Science,602,601,613,8
TR021,"Classics, Ancient History and Archaeology",370,370,434,8
TR022,Early and Modern Irish,398,398,451,8
TR023,English Studies,487,474,511,8
TR024,European Studies,544,530,566,8
TR025,Drama and Theatre Studies,564,530,581,8
TR028,Ancient and Medieval History and Culture,342,342,453,8
TR029,Political Science and Geography,526,510,533,8
TR031,Mathematics,531,531,589,8
TR032,Engineering,510,508,533,8
TR033,Computer Science,509,509,545,8
TR034,Management Science and Information Systems Studies,613,613,625,8
TR035,Theoretical Physics,543,543,601,8
TR038,Engineering with Management,532,532,556,8
TR039,Computer Science and Language,454,424,488,8
TR040,Middle Eastern and European Languages and Cultures,466,466,521,8
TR041,Religion,368,368,418,8
TR042,Film,489,466,498,8
TR043,History of Art and Architecture,393,354,474,8
TR051,Medicine (HPAT required),735,734,745,8
TR052,Dental Science,613,613,625,8
TR053,Physiotherapy,566,566,567,8
TR054,Occupational Therapy,533,533,554,8
TR055,Radiation Therapy,543,543,554,8
TR056,Human Health and Disease,565,564,578,8
