,Course Code,Course,EOS_2018
391,TA023,Advertising and Marketing Communications,235
392,TA024,Early Childhood Care and Education,217
393,TA025,Social Care Practice,261
394,TA026,International Hospitality and Tourism Management,208
395,TA027,Botanical Cuisine,236
396,TA028,Digital Marketing Technologies,220
397,TA121,Accounting and Finance,202
398,TA122,Management,218
399,TA123,Marketing Management,207
400,TA125,International Business,229
401,TA221,Electronic Engineering,251
402,TA222,Mechanical Engineering,243
403,TA223,Sustainable Energy Engineering,236
404,TA224,Biomedical Design,218
405,TA225,Automation Engineering,235
406,TA226,Engineering Software,243
407,TA321,Pharmaceutical Science,261
408,TA322,Computing,200
409,TA323,Computing with IT Management,243
410,TA326,DNA and Forensic Analysis,300
411,TA327,Sports Science and Health,341
412,TA328,Computing with Language (French/German/Spanish),218
413,TA329,Computing with Data Analytics,218
414,AD101,First Year Art & Design (Common Entry), +mat
415,AD102,Graphic Design and Moving Image Design, +mat
416,AD103,Textile & Surface Design and Jewellery & Objects, +mat
417,AD202,Education & Design or Fine Art (Second Level Teaching), +mat
418,AD204,Fine Art, +mat
419,AD211,Fashion Design, +mat
420,AD212,Product Design, +mat
421,AD215,Visual Culture,300
422,AD217,Illustration, +mat
423,AD222,Interaction Design, +mat
424,NC003,Computing (Degree Award options),261
425,NC005,Human Resource Management,297
426,NC009,Business,297
427,NC010,Psychology,366
428,NC020,Marketing Practice,270
429,NC022,Accounting and Finance,338
430,NC023,Technology Management (with specialisations),260
431,NC025,Data Science,297
432,RC001,Medicine - Undergraduate Entry (HPAT required),729
433,RC004,Physiotherapy,532
434,RC005,Pharmacy,555
435,RC101,Medicine - Graduate Entry (GAMSAT required),60
436,TR002,Music,414
437,TR003,History,486
438,TR004,Law,532
439,TR005,Philosophy,391
440,TR006,Psychology,555
441,TR007,Clinical Speech and Language Studies,499
442,TR009,Music Education,430
443,TR012,History and Political Science,532
444,TR015,Philosophy, Political Science
445,TR016,Deaf Studies,337
446,TR017,Law and Business,576
447,TR018,Law and French,532
448,TR019,Law and German,523
449,TR020,Law and Political Science,567
450,TR021,Classics, Ancient History and Archaeology
451,TR022,Early and Modern Irish,347
452,TR023,English Studies,463
453,TR024,European Studies,520
454,TR025,Drama and Theatre Studies,489
455,TR028,Ancient and Medieval History and Culture,339
456,TR029,Political Science and Geography,477
457,TR031,Mathematics,566
458,TR032,Engineering,487
459,TR033,Computer Science,465
460,TR034,Management Science and Information Systems Studies,589
461,TR035,Theoretical Physics,554
462,TR038,Engineering with Management,499
463,TR039,Computer Science and Language,435
464,TR040,Middle Eastern and European Languages and Cultures,485
465,TR041,Religion,347
466,TR051,Medicine (HPAT required),730
467,TR052,Dental Science,590
468,TR053,Physiotherapy,533
469,TR054,Occupational Therapy,500
470,TR055,Radiation Therapy,510
471,TR056,Human Health and Disease,543
472,TR060,Biological and Biomedical Sciences,510
473,TR061,Chemical Sciences,488
474,TR062,Geography and Geoscience,435
475,TR063,Physical Sciences,498
476,TR072,Pharmacy,555
477,TR080,Global Business,565
478,TR081,Business, Economic and Social Studies (BESS)
479,TR082,Computer Science and Business,510
480,TR083,Sociology and Social Policy,451
481,TR084,Social Studies (Social Work),420
482,TR085,Business Studies and French,509
483,TR086,Business Studies and German,474
484,TR087,Business Studies and Russian,467
485,TR089,Business Studies and Polish,393
486,TR090,Business Studies and Spanish,510
487,TR091,General Nursing (Meath and St James's),393
488,TR093,General Nursing (Adelaide School of Nursing),378
489,TR095,Mental Health Nursing,358
490,TR097,Intellectual Disability Nursing,346
